Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
VWR International LLC,USA,Consumer Discretionary,C,Not requested,Not requested,Not requested,Not requested,Not requested
W & T Offshore,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
W.R. Berkley Corp.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
W.R. Grace & Co.,USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
"W.W. Grainger, Inc.",USA,Industrials,A-,C-,Not requested,Not requested,Not requested,Not requested
WABCO Holdings Inc,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Wabtec Corp.,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Wal-Mart Stores, Inc.",USA,Consumer Staples,B,D-,F,F,F,F
Walgreens Boots Alliance,USA,Consumer Staples,C,F,F,F,F,F
Walt Disney Company,USA,Consumer Discretionary,C,Not requested,C,*,*,*
"Waste Connections, Inc.",USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Waste Management, Inc.",USA,Industrials,A,B,Not requested,Not requested,Not requested,Not requested
Waters Corporation,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
WD-40 Company,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
WEC Energy Group,USA,Utilities,C,C,F,F,F,F
Wells Fargo & Company,USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Welltower Inc.,USA,Real Estate,B,Not requested,Not requested,Not requested,Not requested,Not requested
Wendy's International,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Wesco International,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Westar Energy, Inc.",USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Western Digital Corp,USA,Information Technology,C,A-,Not requested,Not requested,Not requested,Not requested
Western Refining Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Western Union Co,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Westlake Chemical Corp,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Westmoreland Coal Company,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
WestRock Company,USA,Materials,C,Not scored,B,*,*,*
Weyerhaeuser Company,USA,Real Estate,C,Not requested,B,*,*,*
Whirlpool Corporation,USA,Consumer Discretionary,C,F,Not requested,Not requested,Not requested,Not requested
WhiteWave Foods,USA,Consumer Staples,B,B,B,B,*,B
Whiting Petroleum Corp,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Whole Foods Market, Inc.",USA,Consumer Staples,F,F,F,F,F,F
"Williams Companies, Inc.",USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Williams-Sonoma Inc,USA,Consumer Discretionary,Not requested,Not requested,B,*,*,*
Windstream Corporation,USA,Telecommunication Services,D,Not requested,Not requested,Not requested,Not requested,Not requested
Wisconsin Energy Conservation Corporation (WECC),USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Wolverine World Wide Inc,USA,Consumer Discretionary,F,Not requested,F,F,F,F
"Workday, Inc",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
World Bank Group,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Worthington Industries,USA,Materials,C-,Not requested,Not requested,Not requested,Not requested,Not requested
Wpx Energy,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Wyndham Worldwide Corporation,USA,Consumer Discretionary,A-,B,D-,*,*,*
"Wynn Resorts, Limited",USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Xanterra Parks & Resorts,USA,Consumer Discretionary,C,Not requested,Not requested,Not requested,Not requested,Not requested
Xcel Energy Inc.,USA,Utilities,B,B,F,F,F,F
Xerox Corporation,USA,Information Technology,A-,A-,Not requested,Not requested,Not requested,Not requested
Xilinx Inc,USA,Information Technology,C,C,Not requested,Not requested,Not requested,Not requested
XPO Logistics,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Xylem Inc,USA,Industrials,C,B,Not requested,Not requested,Not requested,Not requested
Yahoo! Inc.,USA,Information Technology,C,B,Not requested,Not requested,Not requested,Not requested
"Yum! Brands, Inc.",USA,Consumer Discretionary,A-,A-,B,B,*,*
ZAYO,USA,Telecommunication Services,F,Not requested,Not requested,Not requested,Not requested,Not requested
Zillow Group,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Zimmer Biomet Holdings, Inc.",USA,Health Care,C,C,Not requested,Not requested,Not requested,Not requested
Zions Bancorporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Zoetis Inc,USA,Health Care,F,F,Not requested,Not requested,Not requested,
3M Company,USA,Industrials,A-,B,F,F,F,F
A Schulman Inc,USA,Materials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Aaron's Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Abbott Laboratories,USA,Health Care,B,A-,Not requested,Not requested,Not requested,Not requested
AbbVie Inc,USA,Health Care,A-,B,Not requested,Not requested,Not requested,Not requested
Abercrombie & Fitch Co.,USA,Consumer Discretionary,C,Not requested,F,F,F,F
Actiontec Electronics,USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
Activision Blizzard,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Acuity Brands Inc,USA,Industrials,D,F,Not requested,Not requested,Not requested,Not requested
"Adobe Systems, Inc.",USA,Information Technology,A,Not requested,Not requested,Not requested,Not requested,Not requested
ADT Corporation,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Advance Auto Parts Inc,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Advance Publications Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
"Advanced Micro Devices, Inc",USA,Information Technology,B-,B,Not requested,Not requested,Not requested,Not requested
AECOM,USA,Industrials,Not requested,Not requested,F,F,F,F
Aetna Inc.,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Affiliated Managers Group,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
AFLAC Incorporated,USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
AGCO Corp.,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Agilent Technologies Inc.,USA,Health Care,B,Not requested,Not requested,Not requested,Not requested,Not requested
AGNC Investment Corp,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
AGNC Investment Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Air Products & Chemicals, Inc.",USA,Materials,B,B-,Not requested,Not requested,Not requested,Not requested
Airgas,USA,Materials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
AIS,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
AK Steel Holding Corporation,USA,Materials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Akamai Technologies Inc,USA,Information Technology,B,C,Not requested,Not requested,Not requested,Not requested
Alacer Gold,USA,Materials,Not requested,F,Not requested,Not requested,Not requested,Not requested
Alaska Air Group,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Alaska Power & Telephone Company,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Albemarle Corp.,USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
Albertson's,USA,Consumer Staples,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Albertsons Companies, LLC",USA,Consumer Staples,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Alcoa Corp.,USA,Materials,C,B,Not requested,Not requested,Not requested,Not requested
Alere Inc.,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alexandria Real Estate Equities Inc.,USA,Real Estate,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alexion Pharmaceuticals,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
"Align Technology, Inc.",USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alleghany Corp.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Allegheny Technologies Incorporated,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Allergan plc,USA,Health Care,B,B,Not requested,Not requested,Not requested,Not requested
Allete Inc.,USA,Utilities,F,Not requested,F,F,F,F
Alliance Data Systems,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Alliance Holdings GP LP,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alliance Resource Partners L.P.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alliant Energy Corporation,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Allstate Insurance Company,USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Ally Financial Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alnylam Pharmaceuticals Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Alpha Natural Resources Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Alphabet, Inc.",USA,Information Technology,A,Not requested,Not requested,Not requested,Not requested,Not requested
"Altria Group, Inc.",USA,Consumer Staples,A-,A,C,*,*,*
Amazon.com Inc.,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
AMERCO,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Ameren Corporation,USA,Utilities,C,B,Not requested,Not requested,Not requested,Not requested
American Airlines Group Inc,USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
AMERICAN AXLE & MFG HOLDINGS INC,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
American Eagle Outfitters Inc.,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
"American Electric Power Company, Inc.",USA,Utilities,B,B,Not requested,Not requested,Not requested,Not requested
American Express,USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
"American International Group, Inc. (AIG)",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
American Realty Capital,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
American Tower Corp.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
American Water Works,USA,Utilities,D,Not requested,Not requested,Not requested,Not requested,Not requested
American Woodmark Corporation,USA,Industrials,Not requested,Not requested,F,F,F,F
"Ameriprise Financial, Inc.",USA,Financials,C-,Not requested,Not requested,Not requested,Not requested,Not requested
AmerisourceBergen Corp.,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Ametek, Inc.",USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
"Amgen, Inc.",USA,Health Care,C,C,Not requested,Not requested,Not requested,Not requested
Amphenol Corporation,USA,Information Technology,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Amtrak,USA,Industrials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Anadarko Petroleum Corporation,USA,Energy,C,B,Not requested,Not requested,Not requested,Not requested
"Analog Devices, Inc.",USA,Information Technology,B,B,Not requested,Not requested,Not requested,Not requested
Annaly Capital Management,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Ansys Inc.,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Antero Resources Corp,USA,Energy,Not scored,F,Not requested,Not requested,Not requested,Not requested
Anthem Inc,USA,Health Care,C,C,Not requested,Not requested,Not requested,Not requested
AO Smith,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Apache Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Apartment Investment and Management Co.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Apple Inc.,USA,Information Technology,A,F,Not requested,Not requested,Not requested,Not requested
Applied Materials Inc.,USA,Information Technology,B,A-,Not requested,Not requested,Not requested,Not requested
AptarGroup,USA,Materials,B,Not requested,Not requested,Not requested,Not requested,Not requested
ARAMARK CORPORATION,USA,Consumer Staples,C,F,F,F,F,F
Archer Daniels Midland,USA,Consumer Staples,C,B,*,C,*,C
Arconic,USA,Industrials,C,F,Not requested,Not requested,Not requested,Not requested
Armstrong World Industries Inc.,USA,Industrials,Not requested,Not requested,F,F,F,F
Arrow Electronics Inc.,USA,Information Technology,D,C,Not requested,Not requested,Not requested,Not requested
Arthur J. Gallagher & Co.,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Ashland Global Holdings Inc,USA,Materials,D,Not requested,Not requested,Not requested,Not requested,Not requested
