Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
Douglas Emmett Inc,,9,1,11%,Real Estate,California,SANTA MONICA
DOVER CORP,,12,2,17%,Industrials,Illinois,DOWNERS GROVE
DOW CHEMICAL CO /DE/,,13,2,15%,Basic Materials,Michigan,MIDLAND
Dr Pepper Snapple Group Inc.,,9,3,33%,Consumer Defensive,Texas,PLANO
DRIL-QUIP INC,,5,0,0%,,,HOUSTON
Drive Shack Inc.,,6,0,0%,,,NEW YORK
DSP GROUP INC /DE/,,7,0,0%,,,LOS ALTOS
DST SYSTEMS INC,,8,1,13%,Industrials,Missouri,KANSAS CITY
DSW Inc.,,9,4,44%,Consumer Cyclical,Ohio,COLUMBUS
DTE ENERGY CO,,12,2,17%,Utilities,Michigan,DETROIT
DTS Inc.,,6,1,17%,Technology,California,Calabasas
DUCOMMUN INC /DE/,,8,0,0%,,,CARSON
Duke Energy Corporation,,13,2,15%,Utilities,North Carolina,CHARLOTTE
DUKE REALTY CORP,,10,3,30%,Real Estate,Indiana,INDIANAPOLIS
DULUTH HOLDINGS INC.,,9,3,33%,,,BELLEVILLE
DUN & BRADSTREET CORP/NW,,9,3,33%,Industrials,New Jersey,SHORT HILLS
DUNKIN' BRANDS GROUP INC.,,8,2,25%,Consumer Cyclical,Massachusetts,CANTON
