PIERIS PHARMACEUTICALS INC.,,7,0,0%,,,BOSTON
PILGRIMS PRIDE CORP,,9,0,0%,Consumer Defensive,Colorado,GREELEY
Pinnacle Entertainment Inc.,,8,2,25%,Consumer Cyclical,Nevada,LAS VEGAS
PINNACLE FINANCIAL PARTNERS INC,,14,2,14%,,,NASHVILLE
Pinnacle Foods Inc.,,8,2,25%,Consumer Defensive,New Jersey,PARSIPPANY
PINNACLE WEST CAPITAL CORP,,11,2,18%,Utilities,Arizona,PHOENIX
PIONEER ENERGY SERVICES CORP,,5,0,0%,,,SAN ANTONIO
PIONEER NATURAL RESOURCES CO,,13,3,23%,Energy,Texas,IRVING
PIPER JAFFRAY COMPANIES,,9,2,22%,Financial Services,Minnesota,MINNEAPOLIS
PITNEY BOWES INC /DE/,,11,4,36%,Industrials,Connecticut,STAMFORD
PIXELWORKS INC,,5,0,0%,,,SAN JOSE
PJT Partners Inc.,,6,1,17%,,,NEW YORK
Plains All American Pipeline L.P.,,8,0,0%,Energy,Texas,Houston
Plains GP Holdings,,7,0,0%,Energy,Texas,Houston
Planet Fitness Inc.,,6,1,17%,,,NEWINGTON
Planet Payment Inc,,4,0,0%,,,LONG BEACH
PLANTRONICS INC /CA/,,8,1,13%,Technology,California,SANTA CRUZ
Platform Specialty Products Corp,,7,0,0%,Basic Materials,Florida,WEST PALM BEACH
PLEXUS CORP,,9,1,11%,Technology,Wisconsin,NEENAH
PLUG POWER INC,,9,1,11%,,,LATHAM
PLY GEM HOLDINGS INC,,9,2,22%,,,CARY
PNC FINANCIAL SERVICES GROUP INC.,,14,5,36%,Financial Services,Pennsylvania,PITTSBURGH
PNM RESOURCES INC,,8,3,38%,Utilities,New Mexico,ALBUQUERQUE
POLARIS INDUSTRIES INC/MN,,8,2,25%,Consumer Cyclical,Minnesota,MEDINA
Polycom Inc.,,6,1,17%,Technology,California,San Jose
POLYONE CORP,,10,2,20%,Basic Materials,Ohio,AVON LAKE
POOL CORP,,7,0,0%,Consumer Cyclical,Louisiana,COVINGTON
POPULAR INC,,9,2,22%,Financial Services,Puerto Rico,HATO REY
PORTLAND GENERAL ELECTRIC CO /OR/,,11,2,18%,Utilities,Oregon,PORTLAND
PORTOLA PHARMACEUTICALS INC,,9,1,11%,Healthcare,California,SOUTH SAN FRANCISCO
Post Holdings Inc.,,8,0,0%,Consumer Defensive,Missouri,ST. LOUIS
POTBELLY CORP,,8,3,38%,,,CHICAGO
POTLATCH CORP,,8,1,13%,,,SPOKANE
POWELL INDUSTRIES INC,,9,1,11%,,,HOUSTON
POWER INTEGRATIONS INC,,8,1,13%,Technology,California,SAN JOSE
PPG INDUSTRIES INC.,,11,3,27%,Basic Materials,Pennsylvania,PITTSBURGH
PPL Corp,,9,1,11%,Utilities,Pennsylvania,ALLENTOWN
PRA GROUP INC,,10,1,10%,Industrials,Virginia,NORFOLK
PRA Health Sciences Inc.,,7,1,14%,,,RALEIGH
PRAXAIR INC,,9,1,11%,Basic Materials,Connecticut,DANBURY
PREFERRED APARTMENT COMMUNITIES INC,,9,0,0%,,,ATLANTA
Preferred Bank,,7,0,0%,,,LOS ANGELES
PREFORMED LINE PRODUCTS CO,,8,1,13%,,,MAYFIELD VILLAGE
PREMIER FINANCIAL BANCORP INC,,9,0,0%,,,HUNTINGTON
Premier Inc,,16,3,19%,Healthcare,North Carolina,Charlotte
Premier Inc.,,16,3,19%,,,CHARLOTTE
Presidio Inc.,,9,0,0%,,,NEW YORK
Prestige Brands Holdings Inc.,,7,1,14%,,,TARRYTOWN
PRICE T ROWE GROUP INC,,13,4,31%,Financial Services,Maryland,BALTIMORE
Priceline Group Inc.,,12,2,17%,Consumer Cyclical,Connecticut,NORWALK
PRICESMART INC,,10,1,10%,Consumer Defensive,California,SAN DIEGO
Primerica Inc.,,11,3,27%,,,DULUTH
Primo Water Corp,,8,1,13%,,,WINSTON-SALEM
Primoris Services Corp,,8,0,0%,Industrials,Texas,DALLAS
PRINCIPAL FINANCIAL GROUP INC,,11,4,36%,Financial Services,Iowa,DES MOINES
PROASSURANCE CORP,,10,1,10%,,,BIRMINGHAM
Procter & Gamble Company,,11,4,36%,Consumer Defensive,Ohio,CINCINNATI
PROGENICS PHARMACEUTICALS INC,,7,2,29%,,,NEW YORK
PROGRESS SOFTWARE CORP /MA,,7,0,0%,Technology,Massachusetts,BEDFORD
PROGRESSIVE CORPORATION,,11,3,27%,Financial Services,Ohio,MAYFIELD VILLAGE
Prologis Inc.,,10,1,10%,Real Estate,California,SAN FRANCISCO
PROOFPOINT INC,,7,1,14%,Technology,California,SUNNYVALE
ProPetro Holding Corp.,,10,0,0%,,,MIDLAND
PROS HOLDINGS INC.,,8,2,25%,,,HOUSTON
PROSPERITY BANCSHARES INC,,11,1,9%,Financial Services,Texas,HOUSTON
Prothena Corp plc,,7,0,0%,,,DUN LAOGHAIRE
Proto Labs Inc,,7,1,14%,,,MAPLE PLAIN
PROVIDENCE SERVICE CORP,,8,2,25%,Healthcare,Arizona,STAMFORD
Provident Bancorp Inc.,,10,2,20%,,,AMESBURY
PROVIDENT FINANCIAL HOLDINGS INC,,7,2,29%,,,RIVERSIDE
PROVIDENT FINANCIAL SERVICES INC,,10,1,10%,,,JERSEY CITY
PRUDENTIAL BANCORP INC.,,6,0,0%,,,PHILADELPHIA
PRUDENTIAL FINANCIAL INC,,12,3,25%,Financial Services,New Jersey,NEWARK
PS BUSINESS PARKS INC/CA,,9,3,33%,Real Estate,California,GLENDALE
PTC INC.,,8,1,13%,Technology,Massachusetts,NEEDHAM
PTC THERAPEUTICS INC.,,9,1,11%,,,SOUTH PLAINFIELD
PUBLIC SERVICE ENTERPRISE GROUP INC,,11,2,18%,Utilities,New Jersey,NEWARK
Public Storage,,9,2,22%,Real Estate,California,GLENDALE
Publix Super Markets Inc.,,9,3,33%,Consumer Defensive,Florida,Lakeland
Puget Energy Inc.,,11,2,18%,Utilities,Washington,Bellevue
PULTEGROUP INC/MI/,,12,1,8%,Consumer Cyclical,Georgia,ATLANTA
PUMA BIOTECHNOLOGY INC.,,5,0,0%,Healthcare,California,LOS ANGELES
PURE CYCLE CORP,,6,0,0%,,,WATKINS
Pure Storage Inc.,,8,1,13%,,,MOUNTAIN VIEW
PVH CORP. /DE/,,12,4,33%,Consumer Cyclical,New York,NEW YORK
Pzena Investment Management Inc.,,7,0,0%,,,NEW YORK
Q2 Holdings Inc.,,9,1,11%,,,AUSTIN
QAD INC,,6,1,17%,,,SANTA BARBARA
QC Holdings Inc.,,5,1,20%,Financial Services,Kansas,Overland Park
